"Value","Description"
560,"SONG OF THE WHALE - MISCELLANEOUS VESSELS"
561,"ORION - MISCELLANEOUS VESSELS"
562,"CLOUD 9 - MISCELLANEOUS VESSELS"
563,"CAPTAIN’S LADY - MISCELLANEOUS VESSELS"
564,"DOMINION VICTORY - MISCELLANEOUS VESSELS"
570,"INFLATABLE DEPLOYED FROM OTHER VESSEL - MISCELLANEOUS VESSELS"
571,"MISC. SMALL BOAT/INFLATABLE - MISCELLANEOUS VESSELS"
572,"CAMPOBELLO WHALE RESCUE BOAT - MISCELLANEOUS VESSELS"
575,"WHOI MISCELLANEOUS (WATKINS) - MISCELLANEOUS VESSELS"
576,"MASSACHUSETTS ENVIRONMENTAL POLICE - MISCELLANEOUS VESSELS"
577,"U. S. NAVY - MISCELLANEOUS VESSELS"
578,"MAINE MARINE PATROL - MISCELLANEOUS VESSELS"
580,"PRIVATE YACHTS (SAIL/POWER) - MISCELLANEOUS VESSELS"
581,"MISC. RECREATIONAL VESSEL - MISCELLANEOUS VESSELS"
582,"DREDGE - MISCELLANEOUS VESSELS"
583,"MERCHANT VESSEL - MISCELLANEOUS VESSELS"
584,"PILOT BOAT - MISCELLANEOUS VESSELS"
585,"TUGBOAT - MISCELLANEOUS VESSELS"
586,"MISC. COAST GUARD OPPOR/HIST - MISCELLANEOUS VESSELS"
587,"CRUISE SHIP - MISCELLANEOUS VESSELS"
588,"MISC. FOREIGN R/V OPPOR/HIST - MISCELLANEOUS VESSELS"
589,"MISC. INSTITUTIONAL R/V OPPOR/HIST - MISCELLANEOUS VESSELS"
590,"MISC. HARBOR MASTER/POLICE VESSEL - MISCELLANEOUS VESSELS"
591,"MISC. WHALE/BIRD WATCH OPPOR/HIST - MISCELLANEOUS VESSELS"
593,"MISC. COMMERCIAL F/V OPPOR/HIST - MISCELLANEOUS VESSELS"
594,"MISC. CHARTER F/V OPPOR/HIST - MISCELLANEOUS VESSELS"
595,"MISC. MERCHANT VESSEL OPPORT. - MISCELLANEOUS VESSELS"
596,"MISC. NAVAL VESSEL OPPORT. - MISCELLANEOUS VESSELS"
597,"MISC. YACHT OPPOR/HIST. - MISCELLANEOUS VESSELS"
599,"MISC. OTHER OPPOR/HIST - MISCELLANEOUS VESSELS"
600,"UNITED HELICOPTERS - HELICOPTERS"
601,"USCG SHIP-BASED - HELICOPTERS"
602,"MASSACHUSETTS ENVIRONMENTAL POLICE - HELICOPTERS"
603,"USCG HELICOPTER - HELICOPTERS"
604,"DFO HELICOPTER - HELICOPTERS"
605,"MISC. HELICOPTER - HELICOPTERS"
620,"PRIVATE DRONE - PRIVATE AIRCRAFT"
625,"PRIVATE AIRCRAFT - PRIVATE AIRCRAFT"
626,"SKYMASTER (AERO-MARINE) - DEDICATED AIRCRAFT"
627,"AT-11 (AERO-MARINE)  - DEDICATED AIRCRAFT"
628,"ISLANDER (NEW ENGLAND AIRWAYS) - DEDICATED AIRCRAFT"
629,"SKYMASTER (KATONA CHARTER) - DEDICATED AIRCRAFT"
630,"CESSNA 150 (KATONA CHARTER) - DEDICATED AIRCRAFT"
631,"CESSNA 206 (CETAP RECON CHARTER) - DEDICATED AIRCRAFT"
632,"PIPER AZTEC (AERO-MARINE) - DEDICATED AIRCRAFT"
633,"NOAA TWIN OTTER - DEDICATED AIRCRAFT"
634,"NOAA (CHARTER) WIGEON - DEDICATED AIRCRAFT"
635,"NOAA (CHARTER) GOOSE - DEDICATED AIRCRAFT"
636,"NOAA SHRIKE - DEDICATED AIRCRAFT"
638,"Aero-Commander"
640,"FISHERIES PATROL-CAPE COD - U.S. COAST GUARD AIRCRAFT"
641,"FISHERIES PATROL-CAPE HATTERAS - U.S. COAST GUARD AIRCRAFT"
642,"HARBOR PATROL - U.S. COAST GUARD AIRCRAFT"
643,"RADIOTHERMOGRAPHY (ART) - U.S. COAST GUARD AIRCRAFT"
645,"NEW ENGLAND AIRWAYS - MISCELLANEOUS AIRCRAFT"
646,"SOUTHEAST MISC. - MISCELLANEOUS AIRCRAFT"
647,"BAY OF FUNDY/BROWNS BANK MISC. - MISCELLANEOUS AIRCRAFT"
648,"CAPE COD BAY MISC. - MISCELLANEOUS AIRCRAFT"
649,"OTHER SKYMASTER - MISCELLANEOUS AIRCRAFT"
650,"FISHSPOTTER - MISCELLANEOUS AIRCRAFT"
651,"PARTENAVIA - MISCELLANEOUS AIRCRAFT"
652,"MISC. LOW-WING, TWIN ENGINE - MISCELLANEOUS AIRCRAFT"
653,"OTHER TWIN OTTER - MISCELLANEOUS AIRCRAFT"
654,"Aircam (ASWH)"
655,"MISC. CANADIAN AIRCRAFT - DFO, TRANSPORT CANADA, A&P, ETC - MISCELLANEOUS AIRCRAFT"
661,"METLIFE AIRSHIP - MISCELLANEOUS AIRCRAFT"
662,"FUJI AIRSHIP - MISCELLANEOUS AIRCRAFT"
663,"AIRSHIP SHAMU - MISCELLANEOUS AIRCRAFT"
664,"VIRGIN LIGHTSHIP - MISCELLANEOUS AIRCRAFT"
665,"U.S. NAVY AIRSHIP - MISCELLANEOUS AIRCRAFT"
669,"MISC. OTHER AIRSHIP - MISCELLANEOUS AIRCRAFT"
691,"MISC. COAST GUARD OPPOR/HIST - MISCELLANEOUS AIRCRAFT"
695,"NAVY ANTI-SUBMARINE WARFARE ENVIRONMENTAL PREDICTION SERVICES (ASWEPS) - MISCELLANEOUS AIRCRAFT"
699,"MISC. OTHER OPPOR/HIST - MISCELLANEOUS AIRCRAFT"
700,"SHORE STATION - OTHER"
701,"Whale Alert app"
702,"DFO Whale Alert system"
703,"YouTube"
704,"other Internet source"
800,"MISC./MIXED PLATFORMS OPPOR/HIST - OTHER"
801,"mixed platforms, photoid catalog"
802,"tagged animal locations from catalog or NEFSC/SAS"
803,"mixed platforms, stranding data"
804,"literature"
900,"UNKNOWN - OTHER"
266,"CANADIAN COAST GUARD - CANADIAN VESSELS"
268,"R/V LEEWAY ODYSSEY - INSTITUTIONAL RESEARCH VESSELS"
280,"MISC./UNKNOWN CANADIAN VESSEL - CANADIAN VESSELS"
325,"FUGRO EXPLORER - SEISMIC VESSELS"
573,"TOWBOAT OR SIMILAR VESSEL - MISCELLANEOUS VESSELS"
637,"APEM HIGH-RESOLUTION PHOTO SURVEY AIRCRAFT (PARTENAVIA) - DEDICATED AIRCRAFT"
