CSV Split Summary
=================

Date: 28-Jun-2026 23:44:38
Input file: data/legacy/original_csv/RUSS_24_VALID.CSV
Output directory: data/legacy/surveys/pending

Total surveys: 12578
Total rows: 11651703
Average rows per survey: 926
Time elapsed: 341.3 minutes

Survey file row counts:
-----------------------
F099121: 118 rows
F099122: 109 rows
F099130: 130 rows
F099131: 105 rows
F099132: 78 rows
F099133: 47 rows
F099135: 114 rows
F099148: 131 rows
F099298: 31 rows
F178318: 40 rows
F178346: 135 rows
F179016: 215 rows
F179044: 44 rows
F179079: 231 rows
F179107: 246 rows
F179135: 151 rows
F179170: 76 rows
F179198: 68 rows
F179233: 291 rows
F179261: 266 rows
F179296: 255 rows
F179345: 211 rows
F180071: 14 rows
F180106: 243 rows
F180133: 293 rows
F180169: 315 rows
F192009: 91 rows
F192022: 24 rows
F192033: 35 rows
F192045: 100 rows
F192063: 259 rows
F192092: 286 rows
F192107: 162 rows
F193014: 44 rows
F193028: 53 rows
F193029: 132 rows
F193050: 139 rows
F193055: 122 rows
F193069: 292 rows
F193070: 161 rows
F193089: 433 rows
F193103: 324 rows
F193120: 231 rows
F193323: 166 rows
F193333: 53 rows
F193340: 219 rows
F193347: 237 rows
F193354: 190 rows
F193361: 262 rows
F194006: 302 rows
F194024: 166 rows
F194035: 260 rows
F194042: 38 rows
F194046: 97 rows
F194066: 483 rows
F194073: 167 rows
F194080: 360 rows
F194101: 244 rows
F194353: 41 rows
F194361: 28 rows
F194362: 51 rows
F195009: 189 rows
F195010: 204 rows
F195017: 289 rows
F195018: 226 rows
F195026: 144 rows
F195027: 307 rows
F195031: 27 rows
F195032: 151 rows
F195038: 227 rows
F195040: 81 rows
F195045: 162 rows
F195055: 347 rows
F195059: 202 rows
F195062: 92 rows
F195063: 30 rows
F195066: 245 rows
F195072: 158 rows
F195073: 83 rows
F195074: 211 rows
F195079: 246 rows
F195080: 219 rows
F195083: 61 rows
F195086: 339 rows
F195088: 208 rows
F195093: 543 rows
F195094: 396 rows
F195115: 94 rows
F195362: 113 rows
F195363: 70 rows
F196005: 185 rows
F196006: 141 rows
F196009: 94 rows
F196010: 166 rows
F196011: 231 rows
F196014: 333 rows
F196015: 114 rows
F196016: 131 rows
F196017: 67 rows
F196019: 23 rows
F196020: 93 rows
F196023: 138 rows
F196026: 73 rows
F196029: 136 rows
F196030: 287 rows
F196032: 166 rows
F196037: 71 rows
F196038: 172 rows
F196039: 210 rows
F196041: 224 rows
F196042: 80 rows
F196044: 139 rows
F196049: 336 rows
F196052: 36 rows
F196054: 350 rows
F196058: 720 rows
F196063: 177 rows
F196074: 250 rows
F196075: 186 rows
F196082: 218 rows
F196084: 654 rows
F196293: 80 rows
F196294: 383 rows
F196295: 330 rows
F196296: 121 rows
F196297: 108 rows
F196298: 339 rows
F196299: 350 rows
F196300: 375 rows
F196301: 98 rows
F196302: 345 rows
F196303: 320 rows
F196304: 255 rows
F196306: 226 rows
F196307: 189 rows
F196310: 220 rows
F196311: 71 rows
F196366: 186 rows
F197003: 223 rows
F197006: 27 rows
F197007: 223 rows
F197011: 143 rows
F197012: 49 rows
F197013: 29 rows
F197019: 50 rows
F197020: 107 rows
F197021: 167 rows
F197022: 190 rows
F197026: 64 rows
F197027: 95 rows
F197028: 242 rows
F197032: 123 rows
F197033: 186 rows
F197034: 254 rows
F197035: 321 rows
F197036: 417 rows
F197037: 30 rows
F197040: 78 rows
F197042: 106 rows
F197043: 119 rows
F197048: 77 rows
F197049: 138 rows
F197050: 280 rows
F197054: 36 rows
F197057: 66 rows
F197058: 135 rows
F197063: 394 rows
F197064: 447 rows
